skip
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 ChannelSelect,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Blank,Solvent_blank_MobileA2B2_1_HILICneg_SZ_09202023_01,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:A1,3,,0,0,0,1,,,,,,,
Blank,Solvent_blank_MobileA1B1_1_RPpos_SZ_09202023_02,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:A2,3,,0,0,0,1,,,,,,,
Blank,Process_blank_HMGCS2_Supernatant_1_HILICneg_SZ_09202023_03,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:A3,3,,0,0,0,1,,,,,,,
Blank,Process_blank_HMGCS2_Supernatant_1_RPpos_SZ_09202023_04,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:A3,3,,0,0,0,1,,,,,,,
QC,Qstd_HILICneg_1_SZ_09202023_05,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:A4,3,,0,0,0,1,,,,,,,
QC,Qstd_RPpos_1_SZ_09202023_06,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:A4,3,,0,0,0,1,,,,,,,
QC,Pool_QC_HMGCS2_Supernatant_HILICneg_1_SZ_09202023_07,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:A5,3,,0,0,0,1,,,,,,,
QC,Pool_QC_HMGCS2_Supernatant_RPpos_1_SZ_09202023_08,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:A5,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample1_HILICneg_SZ_09202023_09,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:B1,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample1_RPpos_SZ_09202023_10,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:B1,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample2_HILICneg_SZ_09202023_11,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:B2,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample2_RPpos_SZ_09202023_12,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:B2,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample3_HILICneg_SZ_09202023_13,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:B3,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample3_RPpos_SZ_09202023_14,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:B3,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample4_HILICneg_SZ_09202023_15,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:B4,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample4_RPpos_SZ_09202023_16,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:B4,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample5_HILICneg_SZ_09202023_17,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:B5,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample5_RPpos_SZ_09202023_18,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:B5,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample6_HILICneg_SZ_09202023_19,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:B6,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample6_RPpos_SZ_09202023_20,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:B6,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample7_HILICneg_SZ_09202023_21,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:B7,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample7_RPpos_SZ_09202023_22,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:B7,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample8_HILICneg_SZ_09202023_23,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:B8,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample8_RPpos_SZ_09202023_24,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:B8,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample9_HILICneg_SZ_09202023_25,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:B9,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample9_RPpos_SZ_09202023_26,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:B9,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Supernatant_Sample10_HILICneg_SZ_09202023_27,R:1,D:\HF-X_data\Shujian Zheng\09202023_Zukai_Supernatant,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:C1,3,,0,0,0,1,,,,,,,
