Bracket Type=4,
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 ChannelSelect,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Unknown,Solvent_Blank_1_SZ_12042024_01,Solvent_Blank,D:\Shujian\12042024_STS_HSD3B1\DnCl,C:\Xcalibur\methods\Shujian\Derivatization\04252024_DnCl_switchvalve,,,R:A1,3,,0,0,0,1,,,,,,,
Unknown,Process_Blank_12C_DnCl_1_SZ_12042024_02,Process_Blank_12C_DnCl,D:\Shujian\12042024_STS_HSD3B1\DnCl,C:\Xcalibur\methods\Shujian\Derivatization\04252024_DnCl_switchvalve,,,R:A2,3,,0,0,0,1,,,,,,,
Unknown,Process_Blank_12C13C_DnCl_SZ_12042024_03,Process_Blank_12C13C_DnCl,D:\Shujian\12042024_STS_HSD3B1\DnCl,C:\Xcalibur\methods\Shujian\Derivatization\04252024_DnCl_switchvalve,,,R:A3,3,,0,0,0,1,,,,,,,
Unknown,Pool_no_DnCl_1_12042024_04,Pool_no_DnCl,D:\Shujian\12042024_STS_HSD3B1\DnCl,C:\Xcalibur\methods\Shujian\Derivatization\04252024_DnCl_switchvalve,,,R:A4,3,,0,0,0,1,,,,,,,
Unknown,Standard_12C_DnCl_1_SZ_12042024_05,Standard_12C_DnCl,D:\Shujian\12042024_STS_HSD3B1\DnCl,C:\Xcalibur\methods\Shujian\Derivatization\04252024_DnCl_switchvalve,,,R:A5,3,,0,0,0,1,,,,,,,
Unknown,Pool_12C_DnCl_1_SZ_12042024_06,Pool_12C_DnCl,D:\Shujian\12042024_STS_HSD3B1\DnCl,C:\Xcalibur\methods\Shujian\Derivatization\04252024_DnCl_switchvalve,,,R:A6,3,,0,0,0,1,,,,,,,
Unknown,Pool_12C13C_DnCl_1_SZ_12042024_07,Pool_12C13C_DnCl,D:\Shujian\12042024_STS_HSD3B1\DnCl,C:\Xcalibur\methods\Shujian\Derivatization\04252024_DnCl_switchvalve,,,R:A7,3,,0,0,0,1,,,,,,,
Unknown,Qstd_1_SZ_12042024_08,Qstd,D:\Shujian\12042024_STS_HSD3B1\DnCl,C:\Xcalibur\methods\Shujian\Derivatization\04252024_DnCl_switchvalve,,,R:A8,3,,0,0,0,1,,,,,,,
Unknown,WT_Basal_1_12C_DnCl_SZ_12042024_09,WT_WT_Basal,D:\Shujian\12042024_STS_HSD3B1\DnCl,C:\Xcalibur\methods\Shujian\Derivatization\04252024_DnCl_switchvalve,,,R:B1,3,,0,0,0,1,,,,,,,
Unknown,STS_KO_A02_DHEAS_R2_12C_DnCl_SZ_12042024_10,A02_STS_KO_DHEAS,D:\Shujian\12042024_STS_HSD3B1\DnCl,C:\Xcalibur\methods\Shujian\Derivatization\04252024_DnCl_switchvalve,,,R:B2,3,,0,0,0,1,,,,,,,
Unknown,STS_KO_B03_DHEAS_R1_12C_DnCl_SZ_12042024_11,B03_STS_KO_DHEAS,D:\Shujian\12042024_STS_HSD3B1\DnCl,C:\Xcalibur\methods\Shujian\Derivatization\04252024_DnCl_switchvalve,,,R:B3,3,,0,0,0,1,,,,,,,
Unknown,HSD3B1_PTC_D03_Basal_R1_12C_DnCl_SZ_12042024_12,D03_HSD3B1_PTC_Basal,D:\Shujian\12042024_STS_HSD3B1\DnCl,C:\Xcalibur\methods\Shujian\Derivatization\04252024_DnCl_switchvalve,,,R:B4,3,,0,0,0,1,,,,,,,
Unknown,STS_KO_A02_Basal_R1_12C_DnCl_SZ_12042024_13,A02_STS_KO_Basal,D:\Shujian\12042024_STS_HSD3B1\DnCl,C:\Xcalibur\methods\Shujian\Derivatization\04252024_DnCl_switchvalve,,,R:B5,3,,0,0,0,1,,,,,,,
Unknown,WT_DHEAS_1_12C_DnCl_SZ_12042024_14,WT_WT_DHEAS,D:\Shujian\12042024_STS_HSD3B1\DnCl,C:\Xcalibur\methods\Shujian\Derivatization\04252024_DnCl_switchvalve,,,R:B6,3,,0,0,0,1,,,,,,,
Unknown,STS_KO_A01_Basal_R1_12C_DnCl_SZ_12042024_15,A01_STS_KO_Basal,D:\Shujian\12042024_STS_HSD3B1\DnCl,C:\Xcalibur\methods\Shujian\Derivatization\04252024_DnCl_switchvalve,,,R:B7,3,,0,0,0,1,,,,,,,
Unknown,STS_KO_A01_DHEAS_R2_12C_DnCl_SZ_12042024_16,A01_STS_KO_DHEAS,D:\Shujian\12042024_STS_HSD3B1\DnCl,C:\Xcalibur\methods\Shujian\Derivatization\04252024_DnCl_switchvalve,,,R:B8,3,,0,0,0,1,,,,,,,
Unknown,STS_CE_A06_Basal_R1_12C_DnCl_SZ_12042024_17,A06_STS_CE_Basal,D:\Shujian\12042024_STS_HSD3B1\DnCl,C:\Xcalibur\methods\Shujian\Derivatization\04252024_DnCl_switchvalve,,,R:B9,3,,0,0,0,1,,,,,,,
