Bracket Type=4,,,,,,,,,,,,,,,,,,,,
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 ChannelSelect,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Blank,Solvent_Blank_HILICneg_1_supernatant_SZ_07262024_01,Solvent_Blank,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_2,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:A1,3,,0,0,0,1,,,,,,,
Blank,Solvent_Blank_RPpos_1_supernatant_SZ_07262024_02,Solvent_Blank,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_2,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:A2,3,,0,0,0,1,,,,,,,
Blank,Process_Blank_HILICneg_1_supernatant_SZ_07262024_03,Process_Blank,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_2,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:A3,3,,0,0,0,1,,,,,,,
Blank,Process_Blank_RPpos_1_supernatant_SZ_07262024_04,Process_Blank,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_2,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:A3,3,,0,0,0,1,,,,,,,
QC,Qstd_HILICneg_1_supernatant_SZ_07262024_05,Qstd,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_2,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:A4,3,,0,0,0,1,,,,,,,
QC,Qstd_RPpos_1_supernatant_SZ_07262024_06,Qstd,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_2,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:A4,3,,0,0,0,1,,,,,,,
QC,Pool_QC_HILICneg_1_supernatant_SZ_07262024_07,Pool_QC,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_2,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:A5,3,,0,0,0,1,,,,,,,
QC,Pool_QC_RPpos_1_supernatant_SZ_07262024_08,Pool_QC,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_2,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:A5,3,,0,0,0,1,,,,,,,
Unknown,Sample1_HILICneg_supernatant_SZ_07262024_09,CYP19A1_PTC_C06_Sup_Basal_R3,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_2,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:B1,3,,0,0,0,1,,,,,,,
Unknown,Sample1_RPpos_supernatant_SZ_07262024_10,CYP19A1_PTC_C06_Sup_Basal_R3,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_2,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:B1,3,,0,0,0,1,,,,,,,
